epoch,loss,mae,val_loss,val_mae
0,669477.8125,625.8124389648438,196201.28125,277.01531982421875
1,174194.703125,250.89280700683594,162793.34375,225.35060119628906
2,144785.640625,196.53688049316406,139190.515625,177.04803466796875
3,126943.546875,153.7616424560547,127080.8828125,139.0835723876953
4,118263.7421875,127.55818939208984,121669.1171875,118.36408996582031
5,113864.65625,112.83653259277344,118495.5234375,110.82634735107422
6,111090.1328125,102.848388671875,116428.2109375,96.70894622802734
7,109217.671875,93.88246154785156,115034.3359375,88.53366088867188
8,108058.8046875,86.90856170654297,114216.078125,91.63691711425781
9,107375.5625,82.74795532226562,113688.875,82.15837097167969
10,106951.1640625,80.2577896118164,113321.40625,83.94479370117188
11,106637.6171875,79.42977142333984,113049.015625,86.11173248291016
12,106339.609375,79.04383850097656,112723.4296875,84.1918716430664
13,106059.75,78.81413269042969,112429.15625,81.73542785644531
14,105783.0703125,78.7126235961914,112138.5390625,81.75296783447266
15,105519.6953125,78.74716186523438,111881.7265625,78.85002136230469
16,105244.40625,78.80221557617188,111663.6640625,76.42919158935547
17,104986.234375,78.62078094482422,111328.8828125,78.2719955444336
18,104719.328125,78.87953186035156,111055.6640625,78.61358642578125
19,104474.0546875,79.06575775146484,110794.4375,78.01453399658203
20,104213.4375,79.12126159667969,110515.734375,78.74701690673828
21,103953.578125,79.19829559326172,110251.5234375,86.74584197998047
22,103699.171875,79.64501190185547,109943.03125,83.54367065429688
23,103437.9609375,79.81610107421875,109659.2265625,80.95292663574219
24,103169.8359375,80.37934875488281,109495.9609375,77.60664367675781
25,102927.671875,80.40706634521484,109159.0,79.44174194335938
26,102666.78125,80.69544219970703,108821.1953125,83.00371551513672
27,102411.7109375,81.09386444091797,108592.9140625,80.3860855102539
28,102140.078125,81.51179504394531,108267.0625,83.15670013427734
29,101879.0390625,81.90020751953125,108074.4765625,90.72737121582031
30,101622.5859375,82.53981018066406,107724.3984375,82.84024047851562
31,101362.4609375,82.92593383789062,107417.171875,86.43714904785156
